"id","date","tweet","insult_1","target_1","insult_2","target_2","insult_3","target_3","insult_4","target_4","insult_5","target_5","insult_6","target_6"
"1890",2017-10-28,"While not at all presidential I must point out that the Sloppy Michael Moore Show on Broadway was a TOTAL BOMB and was forced to close. Sad!","Sloppy","michael-moore-show","a TOTAL BOMB","michael-moore-show","was forced to close","michael-moore-show","Sad!","michael-moore-show",NA,NA,NA,NA
"1891",2017-10-29,"..""collusion,"" which doesn't exist. The Dems are using this terrible (and bad for our country) Witch Hunt for evil politics, but the R's...","terrible","trump-russia","bad for our country","trump-russia","Witch Hunt","trump-russia","evil politics","trump-russia",NA,NA,NA,NA
"1892",2017-10-29,"..the Uranium to Russia deal, the 33,000 plus deleted Emails, the Comey fix and so much more. Instead they look at phony Trump/Russia,....","phony","trump-russia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1893",2017-10-30,"Sorry, but this is years ago, before Paul Manafort was part of the Trump campaign. But why aren't Crooked Hillary & the Dems the focus?????","Crooked","hillary-clinton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1894",2017-10-31,"...came to the campaign. Few people knew the young, low level volunteer named George, who has already proven to be a liar. Check the DEMS!","low level","george-papadopolous","has already proven to be a liar","george-papadopolous",NA,NA,NA,NA,NA,NA,NA,NA
"1895",2017-10-31,"...earth shattering. He and his brother could Drain The Swamp, which would be yet another campaign promise fulfilled. Fake News weak!","Fake News","the-media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1896",2017-10-31,"In NYC, looks like another attack by a very sick and deranged person. Law enforcement is following this closely. NOT IN THE U.S.A.!","very sick","alleged-nyc-terrorist","deranged","alleged-nyc-terrorist",NA,NA,NA,NA,NA,NA,NA,NA
"1897",2017-10-31,"The biggest story yesterday, the one that has the Dems in a dither, is Podesta running from his firm. What he know about Crooked Dems is....","Crooked","democrats",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1898",2017-10-31,"The Fake News is working overtime. As Paul Manaforts lawyer said, there was ""no collusion"" and events mentioned took place long before he...","Fake News","the-media",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1899",2017-11-01,"Wouldn't it be great to Repeal the very unfair and unpopular Individual Mandate in ObamaCare and use those savings for further Tax Cuts.....","very unfair","the-individual-mandate","unpopular","the-individual-mandate",NA,NA,NA,NA,NA,NA,NA,NA
